Calculated positions with real robtarget as (100, 150):

-----
(101.67718787103752,150.00425155515458)
(101.69939538188838,149.95179881167164)
(101.66923597022577,149.95198325349932)
(101.67914152548045,150.01115089128766)
(101.69706841820886,150.01135868581673)
(101.70902233225965,150.01107533864604)
(101.6975026733686,150.01304432931036)
(101.50018236653493,149.88898059250295)
(101.6973199279791,150.01311589430097)
(101.66967064211934,149.98335647410474)
(101.67933444033787,150.00736440184954)
(102.08489083996123,150.27482268976036)
(102.0556070773324,150.27466506752856)
(101.66948698405616,150.0094045004615)
(101.66952464406472,150.00753415077767)
(101.81577869341245,150.12641281365163)
(101.60369181278404,149.94881085167776)
(102.00400335451961,150.30425449933063)
(101.52878924433818,149.91840070857282)
(101.67900646019275,150.0074924488202)
(101.70698927183177,149.97770931962668)
(101.53646042067957,149.920159906381)
(102.08282126049609,150.3045944762284)
(101.7061009426594,150.00774642903514)
(101.66763105896793,150.00754948804737)
(101.58554449144435,149.88897783450759)
(101.67961599415867,149.99866166355903)
(101.51966647241754,149.85892709658543)
(101.66697557440891,150.00780575469977)
(102.05356855896792,150.30442448804737)
(101.70469516309313,150.00756992807771)
(101.52003449730378,149.829820107936)
(101.52565442505363,149.88918082232257)
(101.64490892814932,149.97804449752874)
(102.05491347593696,150.24524835405427)
(101.64411199480112,149.9486710681304)
(101.52667834186845,149.88877729411197)
(101.52660813168985,149.85911746441613)
(102.08325605710927,150.27473698877407)
(101.52061422928222,149.8295937796598)
(101.57392498341898,149.94891515131752)
(101.53689886512204,149.91813156429347)
(101.6448704728126,149.9483721528653)
(101.46905063071927,149.8591319513898)
(101.6474906585199,150.00748220379236)
(101.498300206847,149.8908475502548)
(101.49732130199892,149.85895955696603)
(101.52558463393673,149.88920832684235)
(101.70473313068564,150.06692996481192)
(101.55669653762078,149.8905025262256)
(101.68655826743446,150.00929904602603)
(102.0427490724927,150.30619735561226)
(101.52817117338064,149.85923209494038)
(101.49877610131193,149.88880450773584)
(101.65521022561921,150.00736693763076)
(101.6650890444166,150.0375062338727)
(101.57367066306719,149.94901529381036)
(101.49896076820404,149.8887318303083)
(101.67455797478637,150.00774715208746)
(101.52638549509943,149.88889270670853)
(101.49855346147663,149.82951712938046)
(101.50699536120067,149.9182166943637)
(101.5265706391419,149.89067539725568)
(101.55625766201058,149.88881992850435)
(101.67482299401688,149.97795520713515)
(101.78452559021673,150.09661244438442)
(101.52708522645644,149.88861693730078)
(101.53646022743818,149.88861693691388)
(101.49859191834717,149.88887699441014)
(101.68712204348282,149.97753407661364)
(102.05133699886323,150.27488468839678)
